,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
0,0,1,Brenden Aaronson,USA,MFFW,Leeds United United,Premier League,22,2000,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75,0.45,0.11,3.22,31.0,28.1,2.88,0.96,0.17,0.0,2.54,0.23,1.47,0.68,0.62,0.06,23.2,0.0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,44.0,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.0,0.62,2.26,0.17,2.54,0.51,0.0,0.0,0.0,4.86,0.34,1.19,22.2
14,14,15,Che Adams,SCO,FW,Southampton,Premier League,26,1996,21,18,1577,17.5,4,2.06,0.74,36.1,0.11,0.31,14.5,0.0,0.0,0.0,14.6,22.2,65.8,206.9,48.1,9.26,12.5,74.3,3.14,4.97,63.2,1.26,1.77,71.0,0.11,1.2,0.97,0.57,0.11,1.31,22.2,21.8,0.34,0.0,0.11,0.4,0.51,0.23,0.0,0.0,0.0,0.0,14.6,0.06,0.8,2.63,2.06,0.06,0.06,0.23,0.23,0.0,0.29,0.17,0.0,0.0,0.0,0.11,0.0,0.86,0.69,0.34,0.4,0.11,0.4,0.51,77.8,0.11,0.51,0.17,0.34,0.23,1.09,1.03,0.0,32.6,1.26,2.97,13.0,17.2,4.74,32.6,1.43,0.63,44.0,0.63,44.0,18.0,73.8,21.9,0.69,0.51,0.46,3.43,0.91,25.0,4.57,0.0,0.0,0.0,1.77,1.03,0.4,0.51,0.69,0.0,0.0,0.0,2.29,2.97,5.03,37.1
15,15,16,Tyler Adams,USA,MF,Leeds United United,Premier League,23,1999,19,19,1706,19.0,0,0.11,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,47.1,57.4,82.0,715.1,220.9,25.7,29.2,87.9,16.8,19.9,84.7,2.84,4.74,60.0,0.0,1.21,4.37,0.63,0.0,5.84,57.4,54.3,3.16,2.47,0.05,0.05,0.11,0.68,0.0,0.0,0.0,0.0,47.1,0.0,1.0,1.84,1.79,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,4.11,2.0,2.05,1.68,0.37,2.21,3.16,70.0,0.95,1.84,0.32,1.53,1.42,5.53,1.16,0.0,69.4,1.53,15.4,43.2,11.3,0.16,69.4,0.89,0.16,17.6,0.58,64.7,35.2,137.1,62.5,0.68,1.0,0.0,1.16,0.68,39.6,0.95,0.26,0.05,0.05,1.74,1.05,0.05,0.11,2.0,0.0,0.0,0.0,8.68,0.89,0.63,58.6
17,17,18,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,14,12,1095,12.2,1,0.33,0.16,50.0,0.25,0.5,16.4,0.0,0.0,0.0,38.9,48.5,80.1,808.6,296.6,9.59,11.0,87.3,25.2,28.4,88.5,3.77,7.79,48.4,0.0,0.08,2.38,0.16,0.0,2.95,48.5,46.1,2.13,1.72,0.0,0.49,0.08,0.33,0.0,0.0,0.0,0.0,38.9,0.33,0.57,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.41,0.82,0.16,0.08,0.49,0.74,66.7,0.25,0.82,0.66,0.16,1.07,2.13,5.33,0.08,58.1,9.51,31.6,25.5,1.48,0.25,58.1,0.25,0.16,66.7,0.08,33.3,28.9,156.6,95.9,0.49,0.66,0.0,0.16,0.25,35.0,0.08,0.16,0.0,0.0,0.66,0.25,0.0,0.08,0.41,0.0,0.0,0.0,4.67,2.13,0.41,83.9
29,29,30,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,5,515,5.7,0,0.88,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,30.9,39.5,78.2,633.2,283.3,10.0,10.9,91.9,16.5,19.5,84.7,4.04,8.07,50.0,0.0,0.18,1.93,0.35,0.0,1.58,39.5,37.7,1.4,1.4,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.35,0.35,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,1.58,1.58,0.7,0.0,1.23,1.58,77.8,0.35,1.23,1.05,0.18,1.05,3.33,4.39,0.0,50.5,6.32,26.0,23.3,1.58,1.05,50.5,0.18,0.18,100.0,0.0,0.0,27.7,105.1,51.2,0.18,0.0,0.0,0.53,0.0,30.2,0.35,0.53,0.0,0.0,0.7,0.7,0.18,0.0,1.58,0.0,0.0,0.0,5.26,1.75,1.05,62.5
31,31,32,Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2002,2,0,16,0.2,0,5.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,50.0,70.0,71.4,760.0,225.0,25.0,30.0,83.3,25.0,35.0,71.4,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,70.0,70.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,85.0,0.0,10.0,60.0,15.0,10.0,85.0,5.0,5.0,100.0,0.0,0.0,40.0,165.0,60.0,5.0,0.0,5.0,5.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
37,37,38,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,21,2001,17,9,913,10.1,1,0.99,0.5,50.0,0.1,0.2,14.1,0.0,0.0,0.0,39.3,48.4,81.2,605.8,210.2,21.9,24.7,88.8,14.5,17.5,82.5,1.98,2.97,66.7,0.0,0.69,2.38,1.29,0.5,3.56,48.4,40.8,7.43,0.5,0.0,0.1,2.08,6.63,0.3,0.1,0.2,0.0,39.3,0.2,1.39,2.18,1.39,0.2,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.58,2.18,0.4,0.1,0.79,1.19,66.7,0.4,0.2,0.0,0.2,0.69,3.37,2.57,0.0,61.8,3.56,19.0,22.2,21.5,2.48,61.8,3.86,1.98,51.3,1.68,43.6,32.3,178.1,101.7,2.48,1.19,0.99,2.18,0.89,37.3,6.63,0.3,0.0,0.0,1.09,0.69,0.3,2.08,1.58,0.0,0.1,0.1,5.25,1.29,1.39,48.1
39,39,40,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,9,9,763,8.5,0,0.12,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,30.5,40.6,75.1,527.1,222.0,15.4,18.7,82.4,12.0,15.1,79.7,2.71,4.71,57.5,0.0,0.12,2.35,0.35,0.12,3.65,40.6,34.5,6.0,0.82,0.0,0.47,0.71,5.18,0.0,0.0,0.0,0.0,30.5,0.12,0.94,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.94,0.59,0.47,0.24,1.06,1.88,56.3,0.82,0.71,0.59,0.12,0.82,2.12,2.59,0.0,48.5,5.29,21.6,19.6,7.53,1.06,48.5,0.82,0.12,14.3,0.47,57.1,25.2,133.6,72.1,1.18,0.59,0.0,0.35,0.94,27.2,1.41,0.0,0.0,0.0,0.59,0.94,0.0,0.71,0.94,0.0,0.12,0.0,4.24,1.76,1.29,57.7
42,42,43,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,15,14,1286,14.3,0,0.77,0.14,18.2,0.0,0.0,16.4,0.0,0.0,0.0,76.2,80.9,94.2,1319.8,411.2,33.4,34.4,97.2,37.0,38.5,96.2,4.76,6.36,74.7,0.07,0.28,5.17,0.07,0.07,4.76,80.9,79.4,1.47,0.84,0.0,0.49,0.21,0.63,0.0,0.0,0.0,0.0,76.2,0.0,0.14,1.26,1.19,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,1.05,0.56,0.77,0.21,1.12,1.47,76.2,0.35,1.33,0.42,0.91,0.77,2.31,1.19,0.0,88.6,5.17,32.7,49.7,6.43,1.4,88.6,0.28,0.21,75.0,0.07,25.0,63.6,387.1,239.9,1.26,1.61,0.0,0.49,0.14,69.2,0.56,0.07,0.0,0.0,0.91,0.49,0.0,0.21,1.05,0.0,0.0,0.0,5.38,0.84,1.4,37.5
43,43,44,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,15,13,1156,12.8,0,0.31,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,84.2,92.0,91.5,1384.6,497.4,39.7,41.8,95.0,39.7,42.3,93.7,3.75,5.55,67.6,0.0,0.39,7.58,0.39,0.0,7.34,92.0,85.9,5.94,1.8,0.08,0.47,0.39,4.14,0.0,0.0,0.0,0.0,84.2,0.16,0.94,1.17,0.94,0.08,0.0,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.25,0.55,0.63,0.55,0.08,0.55,0.78,70.0,0.23,1.02,0.47,0.55,1.02,2.27,1.64,0.0,98.4,4.53,31.8,56.8,10.2,1.56,98.4,0.23,0.16,66.7,0.08,33.3,63.8,298.3,188.8,1.09,0.7,0.16,0.78,0.0,76.2,1.17,0.0,0.0,0.0,0.7,0.7,0.08,0.39,0.55,0.0,0.0,0.0,5.0,1.72,1.33,56.4
55,55,56,Marc Albrighton,ENG,FWMF,Leicester City City,Premier League,33,1989,6,1,237,2.6,1,0.77,0.38,50.0,0.5,1.0,8.0,0.0,0.0,0.0,34.6,57.3,60.4,556.5,211.9,18.8,23.5,80.3,8.85,13.1,67.6,4.62,13.1,35.3,0.0,2.31,2.31,1.92,0.77,2.69,57.3,50.4,6.54,0.38,0.38,0.0,10.8,2.69,2.69,0.38,1.15,0.77,34.6,0.38,3.85,3.08,2.31,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.38,0.0,0.77,0.77,0.38,2.69,14.3,2.31,2.31,0.77,1.54,0.38,1.92,1.92,0.0,66.9,2.31,12.7,23.8,30.8,1.92,66.9,0.38,0.38,100.0,0.0,0.0,31.9,152.7,57.3,1.92,1.92,0.0,1.54,0.77,44.6,6.92,0.0,0.0,0.0,0.77,0.77,0.38,10.8,0.38,0.0,0.0,0.0,5.38,0.38,0.38,50.0
56,56,57,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,14,14,1154,12.8,0,0.7,0.08,11.1,0.0,0.0,25.2,0.0,0.0,0.0,65.8,76.6,85.9,1187.3,348.1,30.7,33.1,92.7,23.4,26.6,87.9,9.45,12.0,79.1,0.0,1.33,7.42,1.48,0.0,8.36,76.6,74.1,2.19,1.64,0.63,1.09,0.08,0.39,0.0,0.0,0.0,0.0,65.8,0.23,1.64,3.05,2.42,0.0,0.23,0.08,0.08,0.23,0.16,0.16,0.0,0.0,0.0,0.0,0.0,3.2,1.8,1.41,1.64,0.16,1.02,1.48,68.4,0.47,1.09,0.23,0.86,1.41,4.61,0.94,0.16,87.7,3.2,20.1,54.8,13.1,0.55,87.7,2.19,1.48,67.9,0.31,14.3,49.5,259.0,120.4,0.94,1.41,0.0,0.86,1.41,62.7,1.72,0.16,0.0,0.0,1.41,1.95,0.0,0.08,1.8,0.0,0.08,0.0,8.13,1.09,1.88,36.8
57,57,58,Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,2002,3,1,134,1.5,1,2.67,0.67,25.0,0.25,1.0,20.1,0.0,0.0,0.0,24.7,32.7,75.5,371.3,96.7,12.7,16.7,76.0,9.33,9.33,100.0,1.33,4.67,28.6,0.0,0.67,1.33,0.67,0.0,4.0,32.7,32.7,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.67,2.0,1.33,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.0,1.33,1.33,0.0,1.33,0.0,0.67,1.33,50.0,0.67,2.0,1.33,0.67,0.67,2.0,0.67,0.0,46.0,2.0,9.33,22.7,15.3,2.67,46.0,2.67,1.33,50.0,1.33,50.0,33.3,176.7,103.3,2.67,4.0,0.0,2.0,3.33,30.0,2.0,0.0,0.0,0.0,1.33,0.67,0.0,0.0,1.33,0.0,0.0,0.0,10.7,0.0,1.33,0.0
63,63,64,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,20,17,1441,16.0,1,1.31,0.19,14.3,0.05,0.33,22.5,0.19,0.0,0.0,64.9,88.9,73.1,1236.3,518.4,30.4,34.2,89.0,23.8,31.1,76.5,9.94,20.6,48.2,0.06,2.25,7.0,3.06,1.06,7.25,88.9,71.5,16.9,2.0,0.56,1.81,8.56,11.6,3.31,0.63,2.44,0.06,64.9,0.44,1.06,4.0,2.5,1.19,0.06,0.25,0.0,0.0,0.31,0.25,0.06,0.0,0.0,0.0,0.0,1.44,1.06,0.94,0.31,0.19,1.0,1.88,53.3,0.88,0.75,0.25,0.5,1.38,2.81,1.13,0.0,97.5,3.06,22.4,48.8,26.8,1.69,97.5,0.69,0.44,63.6,0.19,27.3,52.4,196.1,102.3,1.5,1.06,0.31,1.19,0.81,61.1,5.31,0.19,0.0,0.0,0.5,0.19,0.19,8.56,1.06,0.0,0.0,0.0,7.56,0.69,0.44,61.1
68,68,69,Alisson,BRA,GK,Liverpool,Premier League,30,1992,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,37.1,85.7,746.6,483.5,7.8,7.8,100.0,16.2,16.6,97.9,7.6,12.4,61.3,0.05,0.05,0.45,0.0,0.0,0.05,37.1,30.2,6.8,1.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.6,0.0,39.5,30.6,38.5,1.1,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,24.6,121.3,74.7,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.2,0.05,80.0
70,70,71,Dele Alli,ENG,MF,Everton,Premier League,26,1996,2,0,40,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.5,80.0,307.5,25.0,15.0,20.0,75.0,10.0,12.5,80.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,37.5,32.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,20.0,27.5,5.0,50.0,2.5,0.0,0.0,2.5,100.0,27.5,75.0,7.5,0.0,0.0,0.0,7.5,2.5,35.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,5.0,33.3
72,72,73,Miguel Almirón,PAR,FW,Newcastle United Utd,Premier League,29,1994,22,22,1816,20.2,10,2.33,0.74,31.9,0.21,0.67,16.8,0.0,0.0,0.0,29.3,35.5,82.5,401.3,99.6,18.2,20.1,90.4,8.61,10.5,82.1,1.14,1.63,69.7,0.05,0.84,1.78,1.14,0.1,4.8,35.5,34.2,1.14,0.0,0.0,0.15,0.94,0.69,0.45,0.0,0.0,0.0,29.3,0.25,1.09,3.07,2.18,0.1,0.35,0.3,0.15,0.0,0.45,0.15,0.05,0.2,0.05,0.0,0.0,1.78,1.19,0.59,0.74,0.45,0.74,1.24,60.0,0.5,1.14,0.1,1.04,0.35,2.13,0.45,0.0,47.3,0.79,5.05,15.2,27.9,4.46,47.3,2.92,1.09,37.3,1.39,47.5,29.9,199.6,85.6,2.82,1.44,0.94,1.58,0.89,33.1,9.5,0.05,0.0,0.0,0.69,1.29,0.4,0.94,1.19,0.0,0.0,0.0,5.1,0.2,0.45,30.8
78,78,79,Julián Álvarez,ARG,FWMF,Manchester City,Premier League,23,2000,16,5,578,6.4,4,2.97,1.25,42.1,0.21,0.5,15.6,0.0,0.0,0.0,24.7,31.3,79.0,310.5,47.2,15.3,17.8,86.0,5.47,7.19,76.1,1.09,1.72,63.6,0.0,0.94,1.72,0.63,0.16,2.81,31.3,30.5,0.78,0.0,0.31,0.31,1.25,0.31,0.0,0.0,0.0,0.0,24.7,0.0,1.41,2.81,2.03,0.0,0.16,0.47,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.78,0.16,0.78,0.63,0.31,1.25,25.0,0.94,1.25,0.0,1.25,0.0,1.56,0.16,0.0,40.9,0.47,2.03,16.4,22.8,5.63,40.9,1.72,0.94,54.5,0.63,36.4,23.4,138.3,65.2,2.81,1.09,1.41,1.56,1.41,31.1,7.03,0.0,0.0,0.0,1.56,0.78,0.16,1.25,0.78,0.0,0.0,0.0,2.19,0.78,1.72,31.3
82,82,83,Daniel Amartey,GHA,DF,Leicester City City,Premier League,28,1994,17,15,1365,15.2,0,0.2,0.13,66.7,0.0,0.0,25.2,0.0,0.0,0.0,57.5,62.8,91.5,996.8,379.9,25.2,26.8,94.1,27.8,29.3,94.8,3.82,5.53,69.0,0.0,0.33,3.42,0.07,0.0,4.08,62.8,61.7,1.05,0.79,0.13,0.13,0.0,0.26,0.0,0.0,0.0,0.0,57.5,0.07,0.13,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.12,0.39,0.72,0.33,0.07,0.66,0.79,83.3,0.13,1.25,0.79,0.46,0.53,1.64,3.82,0.0,71.8,10.5,37.1,32.2,2.63,0.33,71.8,0.33,0.13,40.0,0.13,40.0,43.7,211.2,128.0,1.18,0.66,0.0,0.46,0.26,52.1,0.33,0.07,0.0,0.0,0.46,0.2,0.0,0.0,0.39,0.0,0.07,0.0,5.53,1.91,1.51,55.8
91,91,92,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,17,17,1477,16.4,1,0.67,0.3,45.5,0.09,0.2,11.0,0.0,0.0,0.0,50.9,63.8,79.8,1207.7,469.9,11.8,12.9,91.0,29.8,32.1,92.6,9.09,17.3,52.7,0.0,0.24,4.15,0.24,0.0,2.68,63.8,60.0,3.66,3.23,0.06,1.71,0.24,0.37,0.06,0.0,0.0,0.0,50.9,0.18,0.55,0.61,0.55,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,1.46,0.67,1.04,0.43,0.0,0.67,1.22,55.0,0.55,1.04,0.55,0.49,0.98,2.44,6.95,0.0,76.2,14.3,44.0,29.7,2.74,1.22,76.2,0.37,0.18,50.0,0.18,50.0,43.5,213.3,111.2,0.24,0.24,0.12,0.37,0.12,49.5,0.3,0.18,0.0,0.0,0.98,0.67,0.0,0.24,0.67,0.0,0.0,0.0,6.1,2.44,1.1,69.0
92,92,93,Elliot Anderson,SCO,FWMF,Newcastle United Utd,Premier League,20,2002,10,0,121,1.3,0,3.08,0.77,25.0,0.0,0.0,12.0,0.0,0.0,0.0,41.5,54.6,76.1,620.8,206.2,20.8,25.4,81.8,16.9,20.0,84.6,1.54,1.54,100.0,0.0,2.31,5.38,0.77,0.0,6.15,54.6,52.3,1.54,0.0,0.0,0.0,2.31,0.77,0.77,0.0,0.0,0.0,41.5,0.77,3.85,6.92,3.08,0.0,0.77,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,2.31,3.08,0.0,0.77,1.54,3.08,50.0,1.54,3.08,0.77,2.31,1.54,5.38,0.0,0.0,83.8,1.54,13.1,26.9,46.2,16.9,83.8,10.0,1.54,15.4,5.38,53.8,53.8,383.8,206.2,11.5,3.85,6.92,2.31,3.85,56.2,10.8,0.0,0.0,0.0,1.54,5.38,0.77,2.31,2.31,0.0,0.0,0.0,9.23,3.85,1.54,71.4
99,99,100,Jaidon Anthony,ENG,MFFW,Bournemouth,Premier League,23,1999,17,7,783,8.7,3,1.95,1.15,58.8,0.18,0.3,19.9,0.23,0.0,0.0,28.9,39.5,73.0,424.0,118.4,16.8,19.2,87.4,7.82,11.1,70.1,2.3,4.14,55.6,0.0,0.92,1.72,1.49,0.57,4.02,39.5,35.5,4.02,0.92,0.23,0.57,3.56,1.72,1.26,0.8,0.0,0.11,28.9,0.0,1.61,3.1,2.3,0.34,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,2.76,1.49,1.38,0.8,0.57,0.69,2.07,33.3,1.38,1.84,0.11,1.72,0.57,3.33,1.03,0.0,52.9,1.26,10.0,19.4,24.0,2.76,52.9,2.87,0.92,32.0,1.95,68.0,30.1,169.0,70.0,2.07,2.07,0.92,1.72,1.38,33.8,5.29,0.11,0.0,0.0,0.69,0.69,0.34,3.56,1.49,0.0,0.0,0.0,5.17,0.92,1.03,47.1
103,103,104,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,21,11,1051,11.7,2,2.05,0.68,33.3,0.08,0.25,13.8,0.0,0.0,0.0,9.06,17.4,52.2,134.4,27.4,4.79,7.35,65.1,3.5,6.5,53.9,0.51,1.79,28.6,0.17,0.94,0.77,0.43,0.09,1.62,17.4,16.7,0.68,0.09,0.09,0.0,1.62,0.43,0.0,0.0,0.0,0.0,9.06,0.0,0.6,2.39,1.45,0.0,0.43,0.26,0.26,0.0,0.51,0.26,0.0,0.17,0.09,0.0,0.0,0.94,0.51,0.09,0.51,0.34,0.26,0.43,60.0,0.17,0.94,0.34,0.6,0.26,1.2,0.34,0.0,29.0,0.85,2.39,12.6,14.4,4.36,29.0,2.56,0.94,36.7,1.28,50.0,18.4,112.9,51.6,2.05,1.37,0.94,3.42,2.14,23.5,5.73,0.09,0.0,0.0,1.45,1.97,0.85,1.62,0.51,0.0,0.0,0.0,1.88,2.05,3.93,34.3
104,104,105,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,12,11,908,10.1,3,3.27,1.39,42.4,0.09,0.21,20.4,0.0,0.0,0.0,31.6,40.9,77.2,401.8,80.4,22.4,25.8,86.6,6.53,9.31,70.2,1.19,2.48,48.0,0.0,0.79,1.39,0.79,0.0,2.77,40.9,40.4,0.5,0.1,0.1,0.2,1.78,0.3,0.1,0.0,0.0,0.0,31.6,0.0,1.29,2.97,2.67,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.39,0.3,0.69,0.5,0.2,0.5,1.49,33.3,0.99,0.79,0.0,0.79,0.4,1.78,0.3,0.0,52.6,0.5,8.02,17.5,28.4,3.47,52.6,3.07,0.99,32.3,1.49,48.4,37.8,245.0,125.1,4.75,3.47,1.39,1.49,0.69,40.0,7.92,0.3,0.0,0.0,0.4,1.29,0.2,1.78,0.3,0.0,0.0,0.0,4.95,0.3,0.79,27.3
114,114,115,Cameron Archer,ENG,FWMF,Aston Villa,Premier League,21,2001,6,0,49,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,66.7,216.0,88.0,10.0,10.0,100.0,6.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,24.0,22.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,16.0,14.0,6.0,30.0,2.0,2.0,100.0,0.0,0.0,30.0,228.0,144.0,6.0,2.0,2.0,4.0,6.0,26.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
116,116,117,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,2,0,107,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,35.0,69.0,710.0,580.0,7.5,7.5,100.0,8.33,8.33,100.0,8.33,18.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,9.17,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,34.2,35.8,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,21.7,76.7,35.8,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,0.0,0.0
