,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1615,1615,1616,John McGinn,SCO,MF,Aston Villa,Premier League,28,1994,17,14,1223,13.6,0,1.54,0.37,23.8,0.0,0.0,23.8,0.0,0.0,0.0,29.2,38.8,75.3,530.3,193.8,14.0,16.3,86.0,10.6,13.2,80.4,3.82,6.54,58.4,0.07,0.59,4.56,0.81,0.29,4.41,38.8,37.0,1.4,0.59,0.15,0.66,1.99,0.07,0.66,0.51,0.0,0.0,29.2,0.37,0.96,2.43,1.76,0.22,0.07,0.22,0.07,0.07,0.37,0.29,0.0,0.0,0.0,0.07,0.0,2.79,1.76,1.25,1.25,0.29,1.47,2.43,60.6,0.96,1.84,0.29,1.54,0.88,3.68,0.51,0.0,50.1,1.25,8.24,29.0,13.3,1.18,50.1,1.62,0.88,54.5,0.44,27.3,28.2,113.3,50.7,0.66,0.96,0.07,2.06,1.25,32.2,2.13,0.29,0.0,0.0,1.47,1.91,0.0,1.99,1.76,0.07,0.0,0.0,6.1,0.96,0.66,59.1
1616,1616,1617,Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,26,1996,18,17,1462,16.2,0,0.12,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,34.0,42.8,79.4,678.5,256.4,9.69,11.4,84.9,19.9,23.3,85.7,4.01,7.22,55.6,0.0,0.43,2.1,0.19,0.06,2.04,42.8,40.7,1.91,0.62,0.0,0.19,0.12,1.3,0.0,0.0,0.0,0.0,34.0,0.19,0.12,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.74,0.43,0.43,0.19,0.12,0.37,0.62,60.0,0.25,1.23,0.86,0.37,0.68,1.42,5.0,0.06,51.7,9.01,29.9,19.6,2.41,0.99,51.7,0.43,0.31,71.4,0.06,14.3,25.8,114.0,57.1,0.31,0.06,0.0,0.12,0.12,30.3,0.06,0.25,0.0,0.0,0.49,0.25,0.0,0.12,0.43,0.0,0.06,0.0,3.95,1.91,1.36,58.5
1617,1617,1618,Weston McKennie,USA,MF,Leeds United United,Premier League,24,1998,2,1,123,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,43.6,68.9,430.7,90.0,18.6,25.7,72.2,9.29,12.1,76.5,0.71,2.14,33.3,0.0,0.0,2.86,0.71,0.0,7.14,43.6,42.1,1.43,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,30.0,0.0,1.43,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.71,0.71,1.43,0.0,0.0,2.86,0.0,2.86,2.86,0.0,2.86,2.14,4.29,5.0,0.0,59.3,4.29,16.4,31.4,12.1,0.0,59.3,0.0,0.0,0.0,0.0,0.0,22.9,74.3,37.1,0.0,0.71,0.0,0.71,2.86,32.1,1.43,0.71,0.0,0.0,2.86,0.0,0.0,0.0,0.71,0.0,0.0,0.0,7.86,4.29,0.71,85.7
1619,1619,1620,Dwight McNeil,ENG,FWDF,Everton,Premier League,23,1999,19,11,981,10.9,2,1.19,0.18,15.4,0.15,1.0,18.9,0.0,0.0,0.0,26.5,36.7,72.3,446.5,122.7,13.8,16.5,83.3,8.53,10.5,81.6,3.21,6.7,47.9,0.18,1.38,1.56,1.1,0.46,2.75,36.7,32.3,4.31,1.1,0.18,0.28,6.33,0.73,2.48,2.2,0.09,0.0,26.5,0.09,1.74,3.67,2.11,1.28,0.18,0.0,0.09,0.0,0.37,0.18,0.18,0.0,0.0,0.0,0.0,2.75,1.83,1.56,0.55,0.64,0.92,1.65,55.6,0.73,1.65,0.0,1.65,0.73,3.49,1.19,0.0,49.4,1.47,8.81,19.8,21.3,1.93,49.4,3.49,1.38,39.5,1.93,55.3,25.9,179.9,65.3,2.48,1.38,0.46,2.02,1.38,30.0,4.31,0.18,0.0,0.0,0.37,0.64,0.09,6.33,1.83,0.0,0.0,0.0,4.86,0.37,1.01,26.7
1620,1620,1621,Scott McTominay,SCO,MF,Manchester Utd,Premier League,26,1996,15,7,753,8.4,0,0.83,0.36,42.9,0.0,0.0,14.2,0.0,0.0,0.0,25.7,31.8,80.9,410.1,112.5,13.2,16.0,82.8,9.76,11.2,87.2,1.9,2.86,66.7,0.0,0.36,2.02,0.12,0.0,2.26,31.8,31.2,0.48,0.36,0.12,0.36,0.24,0.12,0.0,0.0,0.0,0.0,25.7,0.12,0.12,1.43,1.07,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,1.79,1.07,0.71,0.48,0.71,1.19,60.0,0.48,0.83,0.36,0.48,1.07,3.33,4.05,0.0,46.1,5.95,15.7,21.1,9.4,1.67,46.1,1.67,0.95,57.1,0.48,28.6,20.6,94.6,36.1,0.6,0.83,0.12,1.9,1.07,25.1,1.79,0.6,0.0,0.0,2.26,0.6,0.0,0.24,1.79,0.0,0.12,0.0,5.95,2.38,1.67,58.8
1623,1623,1624,Ben Mee,ENG,DF,Brentford,Premier League,33,1989,21,21,1838,20.4,3,0.74,0.2,26.7,0.2,0.75,9.5,0.0,0.0,0.0,37.0,49.4,74.9,705.6,288.5,13.9,16.5,84.2,18.1,21.9,82.6,4.56,9.17,49.7,0.0,0.15,1.72,0.2,0.0,1.72,49.4,45.1,4.02,1.13,0.0,0.29,0.25,2.84,0.0,0.0,0.0,0.0,37.0,0.25,0.59,0.54,0.39,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.64,0.39,0.0,0.44,0.93,47.4,0.49,1.72,1.37,0.34,1.37,2.4,3.48,0.05,59.7,8.28,31.9,23.8,4.22,1.86,59.7,0.1,0.1,100.0,0.0,0.0,31.4,117.8,52.7,0.1,0.25,0.1,0.59,0.05,32.1,0.34,0.05,0.0,0.0,0.49,0.49,0.05,0.25,0.54,0.0,0.0,0.0,5.64,3.82,2.21,63.4
1639,1639,1640,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9,8,765,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,31.5,79.5,586.7,400.2,8.12,8.12,100.0,10.2,10.4,98.9,6.24,12.6,49.5,0.0,0.0,0.47,0.0,0.0,0.0,31.5,24.2,7.29,0.71,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.24,33.6,29.1,33.3,0.35,0.0,0.0,33.6,0.12,0.0,0.0,0.12,100.0,18.8,87.5,46.9,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.12,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.24,0.0,100.0
1641,1641,1642,Nampalys Mendy,SEN,MF,Leicester City City,Premier League,30,1992,11,3,420,4.7,1,0.43,0.21,50.0,0.5,1.0,21.1,0.0,0.0,0.0,44.9,51.7,86.8,693.2,143.8,23.8,26.0,91.8,17.0,18.9,89.9,2.55,3.62,70.6,0.0,0.21,1.91,0.21,0.0,3.19,51.7,50.9,0.64,0.64,0.0,0.43,0.21,0.0,0.0,0.0,0.0,0.0,44.9,0.21,1.28,0.85,0.64,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.85,0.85,0.43,0.0,0.85,1.7,50.0,0.85,1.7,0.43,1.28,1.49,2.77,0.21,0.0,59.1,1.28,15.5,40.2,4.04,0.21,59.1,0.43,0.43,100.0,0.0,0.0,33.2,167.2,54.7,0.21,0.43,0.0,0.64,0.21,41.7,0.64,0.0,0.0,0.0,0.64,1.28,0.0,0.21,0.85,0.0,0.0,0.0,6.6,0.21,1.06,16.7
1643,1643,1644,Chris Mepham,WAL,DF,Bournemouth,Premier League,25,1997,18,17,1559,17.3,0,0.35,0.12,33.3,0.0,0.0,11.8,0.0,0.0,0.0,33.6,40.7,82.5,631.4,239.2,11.5,12.8,90.0,18.8,20.8,90.5,3.06,6.07,50.5,0.0,0.17,1.45,0.12,0.0,1.5,40.7,39.3,1.27,0.87,0.0,0.12,0.0,0.4,0.0,0.0,0.0,0.0,33.6,0.12,0.29,0.29,0.23,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.69,1.16,0.29,0.0,0.46,0.75,61.5,0.29,1.73,1.16,0.58,0.92,2.37,5.95,0.0,51.8,12.0,34.7,16.4,0.98,0.4,51.8,0.06,0.0,0.0,0.0,0.0,25.3,119.1,61.7,0.06,0.17,0.06,0.23,0.17,30.8,0.0,0.29,0.0,0.0,0.69,0.35,0.0,0.0,0.69,0.0,0.0,0.06,3.41,1.85,1.16,61.5
1649,1649,1650,Illan Meslier,FRA,GK,Leeds United United,Premier League,22,2000,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,30.3,60.1,456.2,297.3,4.38,4.52,96.8,9.1,9.33,97.4,4.67,16.3,28.7,0.0,0.0,0.33,0.05,0.0,0.0,30.3,20.0,10.2,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.05,0.05,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.14,33.3,0.1,0.0,0.0,0.0,0.05,0.1,0.71,0.0,32.8,26.7,32.6,0.24,0.05,0.0,32.8,0.0,0.0,0.0,0.0,0.0,16.3,100.4,56.4,0.0,0.0,0.0,0.05,0.0,11.8,0.0,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.29,0.05,85.7
